!	 	 	Ambt_to_Room1	Ambt_to_Room4	Corridor_to_Room1	Corridor_to_Room4	Ambt_to_Room2	Ambt_to_Room5	Corridor_to_Room2	Corridor_to_Room5	Corridor_to_Room3	Corridor_to_Room6	Ambt_to_Room3	Ambt_to_Room6
!Date	Time	[s]	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h
9/29	09:25:00	33900	1.040943e+00	3.794987e+00	1.399082e+00	-1.422259e+00	-2.085006e+00	9.825638e-01	1.478852e+00	-1.344206e+00	1.531410e+00	-1.281966e+00	-3.365280e+00	-7.291195e-01
9/29	09:26:00	33960	1.041318e+00	3.948732e+00	1.477860e+00	-1.502743e+00	-2.177168e+00	1.065693e+00	1.559252e+00	-1.423386e+00	1.612231e+00	-1.359458e+00	-3.513493e+00	-7.288395e-01
9/29	09:27:00	34020	1.040302e+00	4.104485e+00	1.558449e+00	-1.585139e+00	-2.270972e+00	1.151436e+00	1.641462e+00	-1.504487e+00	1.694859e+00	-1.438861e+00	-3.664100e+00	-7.274342e-01
9/29	09:28:00	34080	1.037810e+00	4.262217e+00	1.640662e+00	-1.669438e+00	-2.366452e+00	1.239796e+00	1.725288e+00	-1.587502e+00	1.779640e+00	-1.520167e+00	-3.816948e+00	-7.249047e-01
9/29	09:29:00	34140	1.033846e+00	4.421913e+00	1.724541e+00	-1.755643e+00	-2.463595e+00	1.330780e+00	1.810773e+00	-1.672432e+00	1.866493e+00	-1.603380e+00	-3.972059e+00	-7.212386e-01
9/29	09:30:00	34200	1.028456e+00	4.583565e+00	1.810227e+00	-1.843757e+00	-2.562367e+00	1.424400e+00	1.898062e+00	-1.759285e+00	1.955153e+00	-1.688506e+00	-4.129530e+00	-7.164173e-01
9/29	09:31:00	34260	1.021630e+00	4.747154e+00	1.897716e+00	-1.933780e+00	-2.662764e+00	1.520661e+00	1.987151e+00	-1.848058e+00	2.045616e+00	-1.775544e+00	-4.289349e+00	-7.104325e-01
9/29	09:32:00	34320	1.013360e+00	4.912660e+00	1.987006e+00	-2.025708e+00	-2.764781e+00	1.619566e+00	2.078038e+00	-1.938750e+00	2.137881e+00	-1.864493e+00	-4.451504e+00	-7.032744e-01
9/29	09:33:00	34380	1.003640e+00	5.080065e+00	2.078093e+00	-2.119540e+00	-2.868411e+00	1.721119e+00	2.170720e+00	-2.031358e+00	2.231941e+00	-1.955351e+00	-4.615984e+00	-6.949354e-01
9/29	09:34:00	34440	1.008514e+00	5.223932e+00	2.148566e+00	-2.195981e+00	-2.937840e+00	1.813034e+00	2.243005e+00	-2.106436e+00	2.306218e+00	-2.028230e+00	-4.768464e+00	-7.063190e-01
9/29	09:35:00	34500	1.020570e+00	5.355212e+00	2.208308e+00	-2.263532e+00	-2.988689e+00	1.900920e+00	2.304646e+00	-2.172582e+00	2.370183e+00	-2.091938e+00	-4.915017e+00	-7.280782e-01
9/29	09:36:00	34560	1.031886e+00	5.486215e+00	2.268245e+00	-2.331596e+00	-3.038377e+00	1.990815e+00	2.366455e+00	-2.239282e+00	2.434345e+00	-2.156181e+00	-5.062554e+00	-7.499704e-01
9/29	09:37:00	34620	1.042447e+00	5.616883e+00	2.328357e+00	-2.400156e+00	-3.086866e+00	2.082722e+00	2.428411e+00	-2.306519e+00	2.498685e+00	-2.220945e+00	-5.211036e+00	-7.719854e-01
9/29	09:38:00	34680	1.052237e+00	5.747158e+00	2.388628e+00	-2.469197e+00	-3.134120e+00	2.176644e+00	2.490496e+00	-2.374279e+00	2.563182e+00	-2.286214e+00	-5.360423e+00	-7.941121e-01
9/29	09:39:00	34740	1.061237e+00	5.876978e+00	2.449038e+00	-2.538701e+00	-3.180105e+00	2.272583e+00	2.552690e+00	-2.442546e+00	2.627817e+00	-2.351974e+00	-5.510676e+00	-8.163403e-01
9/29	09:40:00	34800	1.069430e+00	6.006285e+00	2.509567e+00	-2.608652e+00	-3.224782e+00	2.370542e+00	2.614972e+00	-2.511305e+00	2.692569e+00	-2.418212e+00	-5.661757e+00	-8.386582e-01
9/29	09:41:00	34860	1.076800e+00	6.135016e+00	2.570199e+00	-2.679034e+00	-3.268117e+00	2.470523e+00	2.677323e+00	-2.580540e+00	2.757419e+00	-2.484912e+00	-5.813624e+00	-8.610545e-01
9/29	09:42:00	34920	1.083330e+00	6.263110e+00	2.630911e+00	-2.749829e+00	-3.310070e+00	2.572531e+00	2.739722e+00	-2.650235e+00	2.822344e+00	-2.552058e+00	-5.966237e+00	-8.835186e-01
9/29	09:43:00	34980	1.089000e+00	6.390501e+00	2.691686e+00	-2.821020e+00	-3.350605e+00	2.676567e+00	2.802149e+00	-2.720375e+00	2.887324e+00	-2.619636e+00	-6.119554e+00	-9.060364e-01
9/29	09:44:00	35040	1.093794e+00	6.517121e+00	2.752502e+00	-2.892589e+00	-3.389682e+00	2.782636e+00	2.864581e+00	-2.790942e+00	2.952336e+00	-2.687630e+00	-6.273532e+00	-9.285971e-01
9/29	09:45:00	35100	1.097695e+00	6.642909e+00	2.813340e+00	-2.964519e+00	-3.427264e+00	2.890742e+00	2.926998e+00	-2.861920e+00	3.017360e+00	-2.756024e+00	-6.428130e+00	-9.511878e-01
9/29	09:46:00	35160	1.100684e+00	6.767791e+00	2.874179e+00	-3.036790e+00	-3.463311e+00	3.000886e+00	2.989378e+00	-2.933291e+00	3.082373e+00	-2.824802e+00	-6.583303e+00	-9.737951e-01
9/29	09:47:00	35220	1.102742e+00	6.891701e+00	2.934998e+00	-3.109385e+00	-3.497783e+00	3.113076e+00	3.051699e+00	-3.005039e+00	3.147352e+00	-2.893947e+00	-6.739008e+00	-9.964045e-01
9/29	09:48:00	35280	1.103852e+00	7.014562e+00	2.995774e+00	-3.182284e+00	-3.530640e+00	3.227315e+00	3.113937e+00	-3.077146e+00	3.212274e+00	-2.963444e+00	-6.895197e+00	-1.019003e+00
9/29	09:49:00	35340	1.103994e+00	7.136300e+00	3.056485e+00	-3.255467e+00	-3.561837e+00	3.343606e+00	3.176069e+00	-3.149591e+00	3.277114e+00	-3.033273e+00	-7.051823e+00	-1.041574e+00
9/29	09:50:00	35400	1.103150e+00	7.256838e+00	3.117109e+00	-3.328914e+00	-3.591335e+00	3.461956e+00	3.238070e+00	-3.222358e+00	3.341849e+00	-3.103418e+00	-7.208843e+00	-1.064105e+00
9/29	09:51:00	35460	1.101300e+00	7.376096e+00	3.177621e+00	-3.402604e+00	-3.619088e+00	3.582371e+00	3.299917e+00	-3.295427e+00	3.406452e+00	-3.173859e+00	-7.366202e+00	-1.086576e+00
